CardNumber,Date,Description,MCC_Cd,Amount,Type,Status,Transaction_ID,Carbon_Calc_f
4704-1545-0084-8177,2022-03-06,JetBlue Airways,3174,311,Debit,Cleared,48eaa188-c635-4566-949f-4ce05ad98c9a,N
8333-3307-1872-8720,2022-05-04,Middle East Air,3175,1652,Debit,Cleared,e24c3ab0-fad1-4815-98aa-ef9a4ca7b90d,N
1007-1847-0342-1858,2022-03-03,AirTran Airways,3177,2427,Debit,Cleared,a6ad2dcf-66e4-473b-83a7-f4f2049088c9,N
1347-6154-0216-7255,2022-04-03,Mesa Air,3178,2016,Debit,Cleared,5b80a181-67f7-4e78-a61b-a8fd74d811e9,N
4475-8677-4266-3710,2022-02-16,Westjet Airlines-WESTJET,3180,1693,Debit,Cleared,ed658ac5-5468-4b74-9eeb-00d061134c54,N
0187-0710-0358-5866,2022-04-26,Malev Hungarian Airlines,3181,1038,Debit,Processing,4d77d696-df72-420b-920c-459cd8ef57e0,N
2187-5166-8816-7885,2022-03-18,LOT (Poland),3182,3182,Debit,Cleared,2cfe656c-f486-459c-9c4b-f091ae8190b7,N
2032-7430-2122-1158,2022-02-15,Oman Aviation - OMAN AIR,3183,2378,Debit,Cleared,f03b6778-c27f-4077-b671-e3964ee66a28,N
1627-6537-8884-3428,2022-03-06,LIAT,3184,3089,Debit,Cleared,7432e14f-4bcc-4a5b-94f9-8c24c6b13c8c,N
7427-4263-8377-2751,2022-02-26,LAV (Venezuela),3185,2978,Debit,Cleared,3b6d008d-26fb-4f3b-82e4-0216fe25fcf3,N
8520-3180-0072-7121,2022-04-14,LAP (Paraguay),3186,3361,Debit,Cleared,ce3e1a3d-63db-4474-880e-cc3821969257,N
6888-6464-5850-1282,2022-04-13,LACSA (Costa Rica) ,3187,1854,Debit,Cleared,b2b0beda-c11f-4b47-85cd-351b3c5b95d9,N
1162-2327-0452-3547,2022-05-15,Virgin Express - VIR EXP,3188,1014,Debit,Cleared,77a3dce6-2e8a-439a-a425-f6b0e3fbf148,N
1671-0005-4252-2213,2022-04-20,Jugoslav Air,3190,1739,Debit,Cleared,49e7316a-ab2f-4135-842e-461026845e33,N
8282-4771-5114-6578,2022-05-05,Island Airlines,3191,1958,Debit,Cleared,993d4fa8-d48a-4771-8fa7-97f341af73b6,N
0150-6226-3665-1580,2022-03-01,Indian Airlines,3193,760,Debit,Cleared,7e20fcd5-f84b-45b2-afb5-6fe2ede1b34f,N
7140-5836-4713-2233,2022-03-25,Holiday Airlines,3195,3309,Debit,Cleared,7d0dbd98-6e09-4cc1-a91a-5702ec69989b,N
2848-1740-5562-4041,2022-03-25,Hawaiian Air,3196,731,Debit,Cleared,22264817-699b-4d9f-8ac4-592c44736f92,N
7571-7324-7876-6810,2022-03-26,Havasu Airlines,3197,1743,Debit,Cleared,8867daa7-1f8d-4482-9680-365e7e646aeb,N
4475-8677-4266-3710,2022-05-06,Harbor Airlines,3198,84,Debit,Cleared,2bd4c01a-e2c7-4ec1-bd1d-728800de2f24,N
8212-3112-7560-1582,2022-02-24,Servicios Aereos Militares,3199,769,Debit,Cleared,f9373551-732f-459d-a20a-844d1112d840,N
5574-6710-1602-3845,2022-03-17,Guyana Airways,3200,1809,Debit,Cleared,c91dfbf7-e400-4406-a136-8d3ed82711b8,N
1634-5504-8266-4571,2022-03-22,Freedom Airlines,3204,25,Debit,Cleared,22a9617b-f91d-4a6d-a553-aad616ce754e,N
8336-7723-5010-8258,2022-05-08,China Eastern Airlines (Abbr: China East Air),3206,1459,Debit,Cleared,ab0621f6-8da8-49a8-b8ae-654775cf9f39,N
2187-5166-8816-7885,2022-03-10,Empresa Ecuatoriana,3207,2588,Debit,Cleared,a9e49345-4c02-420b-bf46-132f07712996,N
8331-7455-0118-7251,2022-03-11,Norwegian Air Shuttle - NORWEGIANAIR,3211,1036,Debit,Cleared,fb86f1a2-6a16-4372-aa1c-e4e684b772a5,N
6888-6464-5850-1282,2022-05-02,Dominicana de Aviacion,3212,829,Debit,Cleared,500422c3-6092-4838-af12-0396926374a6,N
7584-8057-3330-8243,2022-05-01,Malmo Aviation - MALMO AV,3213,1168,Debit,Cleared,a26e4148-2931-4212-974e-212174b1f38b,N
5112-5401-3048-6385,2022-03-04,CSA-Ceskoslovenske Aeroln,3217,3231,Debit,Cleared,61ed7a90-5763-4ed8-8d8f-abba9b3aa74d,N
8331-7455-0118-7251,2022-04-06,Copa,3219,1699,Debit,Cleared,ef35f840-e27e-4357-bb29-81155d2f674b,N
3234-0650-4404-1172,2022-03-03,Compania Faucett,3220,1249,Debit,Cleared,a390af91-22fb-44ad-8307-c1824ea2d1f8,N
6575-4613-6817-7234,2022-03-19,Transportes Aeros Mil ,3221,1021,Debit,Cleared,660195b0-5c7a-40c4-8736-af9b468dcb2b,N
3128-4025-2617-0310,2022-05-07,Command Airways,3222,843,Debit,Processing,db81a495-322e-49fc-b519-92b49b081b31,N
8331-7455-0118-7251,2022-04-29,Comair,3223,2727,Debit,Cleared,04877719-a033-43e1-b80d-2fa766a5b41e,N
5150-6376-4178-0685,2022-03-09,Skyways  Air- SKYWAYS,3226,334,Debit,Cleared,d8184525-b886-4c38-af97-a4ae292a3529,N
5112-5401-3048-6385,2022-04-11,Cayman Airways,3228,1267,Debit,Cleared,acba99c8-74e1-4eba-9b5e-5a1116779449,N
5533-3112-6666-5865,2022-04-23,SAETA,3229,1501,Debit,Cleared,89a3d33e-5ac9-4097-8513-25706e0f0b86,N
1634-5504-8266-4571,2022-03-22,SAHSA,3231,1571,Debit,Cleared,ad8e64a1-bc20-4b27-aabb-544fa9b767e1,N
1710-0781-4286-7831,2022-04-06,CARIBAIR,3234,1206,Debit,Cleared,2dd47433-fd15-4dcd-8eb7-e8f275a3397b,N
2848-1740-5562-4041,2022-04-15,Air Arabia Airlines - Air Arab,3236,1883,Debit,Cleared,76d94536-8110-4c7c-b609-b145b9557bef,N
7742-5634-4653-4660,2022-02-19,Bar Harbor Airlines ,3239,834,Debit,Cleared,85f37372-ab95-4331-96ea-a4bf0497f3e2,N
1822-3823-4557-5623,2022-05-13,Bahamasair,3240,9,Debit,Cleared,e64bb13f-a789-4a4f-be42-8c99f67e43d2,N
2513-7800-0438-1508,2022-05-09,Aviateca (Guatemala) ,3241,1914,Debit,Cleared,b7410814-e743-4a19-8304-b78a2bea48fc,N
2032-7430-2122-1158,2022-05-07,Avensa,3242,3112,Debit,Cleared,e76171ed-8746-4b39-899f-a2e7a4ed3474,N
7614-2737-1372-6813,2022-04-04,Austrian Air Service ,3243,595,Debit,Cleared,85e4ecd7-55c1-4ac3-847d-635a326e1ca1,N
2632-3710-8458-8750,2022-03-29,Easy Jet - EASYJET,3245,827,Debit,Cleared,af820740-d92e-4813-b9f0-968fbaf394f3,N
6687-3637-6826-1683,2022-03-24,Ryan Air - RYANAIR,3246,125,Debit,Cleared,085e0243-0b0c-463d-a813-f987dab547bf,N
0363-6237-2162-3151,2022-05-10,Gol Airlines - GOL,3247,1919,Debit,Cleared,6ec4df91-932a-4d79-b0cd-22100bb8003f,N
1708-2261-7773-7658,2022-03-23,Tam Airlines - TAM,3248,1639,Debit,Cleared,78ed1a36-9b68-4687-a719-3371bc56982d,N
1177-4547-0278-4503,2022-04-30,ALM-Antilean Airlines,3252,1292,Debit,Cleared,dc44b337-4724-4b61-9833-d104be9dfe2e,N
2627-5561-2003-6528,2022-05-07,Alaska Airlines Inc.,3256,888,Debit,Processing,cb4d9dcf-0cfb-43e3-8926-195af703d929,N
2230-3314-3361-3488,2022-03-12,Spirit Airlines - SPIRIT,3260,2194,Debit,Cleared,86f60d04-d17c-405a-b8fb-2bd0b787cc98,N
8336-7723-5010-8258,2022-04-17,Air China,3261,1401,Debit,Cleared,dd09fd50-46ac-41b2-a43e-432fd229f8fa,N
8421-4157-4756-7652,2022-04-10,Aero Servicio Carabobo,3263,3101,Debit,Cleared,b4bc9221-b363-4d9b-8778-b5eb39ba381d,N
5660-4564-1621-2557,2022-03-20,Air Seychelles,3266,2690,Debit,Cleared,5d46c837-829e-4b52-9d1a-1536e325a960,N
4463-4748-6462-2744,2022-03-20,Air Panama International ,3267,2686,Debit,Processing,cf60cbc1-a889-4203-92e6-7284db2396ce,N
4475-8677-4266-3710,2022-03-17,Air Pacific,3268,3746,Debit,Cleared,bd48ca8b-2197-478d-80d0-b343d38b18cd,N
5156-3222-5835-4034,2022-02-17,Air Nevada,3275,3765,Debit,Cleared,24ddb7a2-a1ce-4df7-83c7-475f955429cc,N
3221-7806-4080-6767,2022-05-03,Air Midwest,3276,1952,Debit,Cleared,e9503ec0-01ae-4702-9841-1b73bdd12c96,N
1532-0037-7363-6872,2022-03-02,Air Madagascar,3277,3718,Debit,Cleared,927fe91c-b796-4ccb-b4bc-e2f0044ef02d,N
0022-1236-4331-4884,2022-04-30,Air LA,3279,241,Debit,Cleared,fff3cd98-d203-4a34-a8f4-2fa56f599064,N
4837-7356-8265-4327,2022-05-15,Air Jamaica,3280,140,Debit,Cleared,cc1ff178-24e5-44a8-90be-4de41ccbc810,N
7614-2737-1372-6813,2022-03-08,Air Djibouti,3282,363,Debit,Cleared,e1f82e8f-a131-4d29-a7ab-04fcd0d2a8ae,N
3857-1447-6225-5173,2022-02-28,AeroPeru,3285,458,Debit,Cleared,7641538d-1f02-4264-bc8f-7f47c785099c,N
4463-4748-6462-2744,2022-03-01,Aero Nicaraguensis,3286,1246,Debit,Cleared,54e0f203-362f-4dd4-9cd5-c65a8bbea2e6,N
0363-6237-2162-3151,2022-03-26,Aero Coach Aviation,3287,3189,Debit,Cleared,9460e03e-064c-4144-9919-c3e2f57af122,N
1634-5504-8266-4571,2022-04-07,Ariana Afghan,3291,145,Debit,Cleared,cda2a290-41b0-41ad-a5b8-47d525b743f2,N
1331-3717-0773-2487,2022-04-21,Cyprus Airways,3292,3234,Debit,Cleared,c1cc966e-e3ac-4bfc-9b27-7bfa05cd555f,N
8282-4771-5114-6578,2022-04-30,Ecuatoriana,3293,2620,Debit,Cleared,3528bf1b-1a2a-499e-abb1-3eb99f5bd75d,N
8548-3137-1813-1338,2022-03-19,Ethiopian Airlines,3294,261,Debit,Cleared,7df224b9-06dd-4279-a59d-e6f807b1f200,N
8048-2513-1414-5108,2022-05-10,Kenya Airways,3295,2156,Debit,Cleared,6781ebb0-bea1-4732-94e3-da37aab3b0b1,N
4475-8677-4266-3710,2022-04-21,Air Berlin-AIRBERLIN,3296,2266,Debit,Cleared,68b6cd3d-f04b-402f-a6c1-5b814b297ccb,N
0187-0710-0358-5866,2022-04-18,Tarom Romanian Air Transport,3297,2163,Debit,Cleared,6016674b-fffe-4ac1-873d-1329178ebbf0,N
4265-4481-6624-5584,2022-02-22,Air Mauritius,3298,1382,Debit,Cleared,53cf674c-403e-4695-851f-8ceaa88416eb,N
2632-3710-8458-8750,2022-04-18,Wideroe's Flyveselskap,3299,3873,Debit,Cleared,12e7466f-1d62-4e11-be42-cd73d81d6d56,N
0412-4446-5072-7874,2022-02-22,Affiliated Auto Rental,3351,758,Debit,Cleared,c5aa971b-4ed9-47b2-a0a1-306073de8b05,N
2301-4826-6816-0315,2022-02-18,American International,3352,2879,Debit,Cleared,cd7d38ee-9ebd-4f3b-9639-0eeee665875f,N
5156-3222-5835-4034,2022-02-19,Brooks Rent a Car ,3353,1747,Debit,Cleared,b3d2c913-de4d-4b68-9fef-04efb8008398,N
1127-7723-5843-6440,2022-03-23,Action Auto Rental ,3354,441,Debit,Cleared,d9d7a045-356a-4b12-b877-8351f1b5b9d2,N
3221-7806-4080-6767,2022-03-22,SIXT Car Rental,3355,3295,Debit,Cleared,b6b880d1-3ff9-4976-8ac0-b80b7eb97589,N
2627-5561-2003-6528,2022-03-09,Hertz,3357,3408,Debit,Cleared,c72f19d9-5794-4ba2-a1cc-167f62d18fc3,N
4463-4748-6462-2744,2022-03-26,Payless Car Rental ,3359,610,Debit,Cleared,a5178de0-2908-4cce-9a7b-baec82249914,N
5261-2371-4307-3162,2022-03-12,Snappy Car Rental ,3360,2711,Debit,Cleared,0c113059-8e5b-4a11-a200-eee8140404c0,N
2187-5166-8816-7885,2022-04-26,Airways Rent a Car ,3361,2380,Debit,Cleared,2f057973-63a0-4e4e-b0cc-db65220bbae7,N
2728-7313-5247-8151,2022-02-16,Altra Auto Rental ,3362,415,Debit,Cleared,38d3b1dc-4d9c-4f84-badd-66146761bc00,N
3435-4127-8278-2304,2022-05-08,Agency Rent a Car ,3364,1154,Debit,Processing,1eb167c3-7f3c-4bcd-ade7-01ecebc02ccc,N
6687-3637-6826-1683,2022-03-17,Budget Rent a Car ,3366,3651,Debit,Cleared,e3e196a9-ca1a-442e-ab67-8ebfd229686a,N
0187-0710-0358-5866,2022-05-02,Holiday R-A-C,3368,542,Debit,Cleared,d28df83d-6943-4cce-8f40-dcaac92da855,N
8436-1032-3354-5256,2022-05-03,Rent-a-Wreck,3370,3054,Debit,Cleared,0924d601-1909-46e4-8369-0dfbe4cc140f,N
6023-5271-2723-4718,2022-04-07,Accent Rent-A-Car,3374,1919,Debit,Cleared,28c435ad-ba9e-481a-9749-3018479956ff,N
7140-5836-4713-2233,2022-03-04,Ajax R-A-C,3376,3560,Debit,Cleared,9618be7f-3197-471a-a8c6-d259c1ef9064,N
2632-3710-8458-8750,2022-03-17,Triangle Rent a Car ,3380,2207,Debit,Cleared,569bea91-32f0-4dca-b1a5-41c24e8a65b5,N
5022-8318-8036-5438,2022-04-08,Europ Car,3381,1804,Debit,Cleared,89911050-a137-4805-a178-7e89e7247528,N
7050-8348-2865-2376,2022-03-03,Tropical R-A-C ,3385,588,Debit,Cleared,ccb0ab78-282a-4098-b407-8d45681d1744,N
8436-1032-3354-5256,2022-02-18,Showcase Rental Cars,3386,1939,Debit,Cleared,c2bacc54-a895-4596-8dfb-c60af25c670d,N
5722-8688-5154-2618,2022-04-15,Alamo Rent a Car ,3387,3565,Debit,Cleared,f1c7865e-e741-49f8-a639-0d32def98615,N
8048-2513-1414-5108,2022-05-16,"Merchants Rent-A-Car, Inc",3388,1924,Debit,Cleared,2f272720-c514-4d17-ae1e-38a509b24991,N
8331-7455-0118-7251,2022-03-05,Avis R-A-C,3389,903,Debit,Cleared,840ebb30-149a-499f-96d6-8be8a165f852,N
5112-5401-3048-6385,2022-04-21,Dollar R-A-C,3390,3102,Debit,Cleared,f8cad042-a484-41b8-9600-ef3997b5f2ad,N
5660-4564-1621-2557,2022-04-20,Europe by Car ,3391,2537,Debit,Cleared,ff79682a-11e2-4119-9c16-3fedec261ced,N
1114-1286-2836-3057,2022-04-30,National Car Rental ,3393,3456,Debit,Processing,818afbae-b971-41ab-bf7b-b0592eadf4b1,N
1177-4547-0278-4503,2022-03-11,Kemwell Group R-A-C ,3394,2408,Debit,Processing,5b9e5d4e-ecbb-47aa-a70d-7df61c9c7675,N
1177-4547-0278-4503,2022-05-05,Thrify Car Rental ,3395,3948,Debit,Cleared,4a46ca0c-14cb-4328-9920-dca9365be79f,N
4038-7060-5125-8207,2022-03-13,Tilden R-A-C,3396,1029,Debit,Cleared,c35c922f-c4f1-49a1-b308-b844e97e42aa,N
8436-1032-3354-5256,2022-03-02,Econo Car R-A-C ,3398,2188,Debit,Cleared,989a4bfd-3bbd-4626-b4f9-702c98833570,N
5014-8505-5363-2260,2022-03-06,Auto Host Car Rentals,3400,3770,Debit,Cleared,c40177e8-26be-4863-92f5-47befa47143e,N
4056-8121-6765-2045,2022-03-31,Enterprise R-A-C ,3405,782,Debit,Cleared,5b5cb3b1-645a-47dc-a42c-f0d3055b1f06,N
8673-2441-5605-2407,2022-03-25,General Rent-a-Car ,3409,23,Debit,Rejected,f18d4ccb-a2ab-4c4a-81c9-4b4930829c02,N
1331-3717-0773-2487,2022-02-17,A-1 R-A-C,3412,2889,Debit,Processing,6ef1120a-d2ca-44d3-9bc6-8edfdb471b62,N
6525-6177-1224-4636,2022-03-16,ANSA International ,3420,3534,Debit,Cleared,b68a3b3b-9c29-45cc-a5de-406219e75e4b,N
3128-4025-2617-0310,2022-02-27,Allstate Rent-a-Car ,3421,1869,Debit,Cleared,523e32a9-ead3-4246-8422-65e195d50a4c,N
5022-8318-8036-5438,2022-03-22,Avcar Rent-a-Car ,3423,1108,Debit,Cleared,6f457b94-0dc0-4314-908f-e962b1a35141,N
1007-1847-0342-1858,2022-02-18,Automate Rent-a-Car ,3425,1107,Debit,Cleared,0140b929-d30a-4c02-93f7-908b3ca5b41a,N
6888-6464-5850-1282,2022-02-21,Avon Rent-a-Car ,3427,524,Debit,Cleared,53b545cb-cb53-4c86-b6ff-b9629247447a,N
8282-4771-5114-6578,2022-03-19,Carey Rent-a-Car,3428,2328,Debit,Cleared,3771f0d8-358b-40e7-9a26-40c84e6c9566,N
1822-3823-4557-5623,2022-04-03,Insurance Rent-a-Car ,3429,3470,Debit,Processing,c138f9d0-954f-4641-b80f-90cb6613e683,N
5722-8688-5154-2618,2022-05-02,Major Rent-a-Car ,3430,2513,Debit,Cleared,a68f830f-19ca-4b5e-a6e8-4e14cd2d27f2,N
0022-1236-4331-4884,2022-04-03,Replacement Rent-a-Car,3431,3911,Debit,Cleared,a570aa69-838d-407c-8e47-0498f3e31b70,N
7474-2421-1771-5866,2022-03-19,Reserve Rent-a-Car ,3432,1599,Debit,Cleared,0f80c957-25e1-44c2-bf4d-14404a795017,N
1710-0781-4286-7831,2022-03-22,Ugly Duckling R-A-C ,3433,543,Debit,Cleared,a02a8bad-09bc-42e0-b2a4-3db2350b7468,N
1671-0005-4252-2213,2022-04-16,USA Rent-a-Car ,3434,3311,Debit,Cleared,bfa3894b-5a27-42e1-8ee2-99e8db5d4598,N
0412-4446-5072-7874,2022-03-16,Value Rent-a-Car ,3435,879,Debit,Cleared,091deaed-24c1-4566-ace2-0ec70b58b283,N
5261-2371-4307-3162,2022-05-15,Autohansa Rent-a-Car ,3436,1354,Debit,Cleared,647116f4-f10e-4499-947b-6b3f703b9d36,N
5753-3703-5208-0576,2022-05-18,Interenet Rent-a-Car ,3438,661,Debit,Cleared,37a3818a-c271-4b02-8bee-b04234240128,N
8436-1032-3354-5256,2022-02-17,Millville Rent-a-Car,3439,1793,Debit,Cleared,adad7b6e-255f-41b6-8f32-a17196134604,N
0373-1428-2370-0035,2022-04-20,Advantage Rent A Car,3441,2591,Debit,Cleared,95189f1b-89ca-45d6-85d8-18080f6ebb24,N
0022-1236-4331-4884,2022-03-31,Holiday Inns,3501,2237,Debit,Cleared,7b7d4f8b-bac9-4de4-bf4e-ea5e889e9cbe,N
1007-1847-0342-1858,2022-02-16,Best Western Hotels ,3502,1127,Debit,Cleared,547d969f-0814-4b5d-8e14-d8ef5cab7bc4,N
3221-7806-4080-6767,2022-04-22,Sheraton,3503,159,Debit,Cleared,38ad155a-24cd-4e97-bc95-a0704221d8e0,N
1710-0781-4286-7831,2022-05-04,Hilton,3504,1152,Debit,Cleared,e9787410-d6ac-4d9e-855e-b9ee1ebf9220,N
3768-5806-1760-2402,2022-03-15,Forte Hotels,3505,1474,Debit,Cleared,9c153c9c-b475-45a7-ae48-8eaaf1b54425,N
6057-5114-2211-7264,2022-02-16,Golden Tulip Hotels ,3506,2508,Debit,Cleared,7eebce8d-5d02-4f7f-a7c2-f4d09e09f846,N
8048-2513-1414-5108,2022-05-19,Friendship Inns,3507,3077,Debit,Cleared,c3f4e2fe-2fe9-4ce9-b60c-081628ac0503,N
6888-6464-5850-1282,2022-02-16,Quality Inns,3508,1501,Debit,Cleared,0c557fda-615b-4378-b555-1466aced1b15,N
8421-4157-4756-7652,2022-03-09,Marriott,3509,241,Debit,Cleared,2d756645-b1bd-40be-969f-796b13ce801c,N
5150-6376-4178-0685,2022-05-11,Days Inn Colonial Resort,3510,559,Debit,Cleared,2f63099d-ba5a-4f73-aa50-afe009303548,N
3221-7806-4080-6767,2022-03-22,Arabella Hotels,3511,2066,Debit,Cleared,a4e49fa2-de1e-4a0d-b5d6-88514764e757,N
6422-6200-5583-3432,2022-02-21,Intercontinental Hotels,3512,3622,Debit,Cleared,543cc221-2729-4d7d-91bd-da86ef0572e1,N
8282-4771-5114-6578,2022-04-25,Westin,3513,3383,Debit,Cleared,8774649a-9dbd-41f3-a49c-5e1fb67c94ee,N
0373-1428-2370-0035,2022-04-26,Amerisuites,3514,3537,Debit,Cleared,e5728540-92d6-4761-9c94-c652d5984c7b,N
3128-4025-2617-0310,2022-03-14,Rodeway Inn,3515,730,Debit,Cleared,d8b11940-78e1-467b-a1cf-c346afbb6ae6,N
8333-3307-1872-8720,2022-05-15,LaQuinta Motor Inns,3516,3041,Debit,Cleared,49e4850a-4b18-42b5-b5ee-839e8592e68f,N
4202-2185-3016-1605,2022-02-17,Americana Hotels,3517,2400,Debit,Cleared,8e42afc6-1c25-46cb-9027-c20376845d9c,N
5533-3112-6666-5865,2022-03-23,Sol Hotels,3518,682,Debit,Cleared,9ba0a9ed-c4ee-4ccd-a4c1-63b312ecfd74,N
4038-7060-5125-8207,2022-03-15,Pullman International Hotels,3519,856,Debit,Cleared,97afcb2f-9fca-4d76-8e17-60fabb286dc7,N
8673-2441-5605-2407,2022-04-13,Meridien Hotels,3520,904,Debit,Cleared,47fcbb0f-1bc7-42d5-9656-60af8f2029ac,N
1347-6154-0216-7255,2022-04-14,Royal Lahaina Resort,3521,3370,Debit,Cleared,cb9a485d-ec7f-42d5-aad4-a69a2cf86235,N
4038-7060-5125-8207,2022-05-15,Tokyo Group,3522,1053,Debit,Cleared,ca08bb33-55cb-4521-89c4-a8b38f6161b0,N
1822-3823-4557-5623,2022-04-14,Peninsula Hotels,3523,2246,Debit,Cleared,9d0fd0f0-6a41-4d2d-bad3-5cb90e44e50c,N
7584-8057-3330-8243,2022-04-16,WelcomGroup Hotels,3524,2887,Debit,Cleared,38cab3dc-e55c-4a45-aa1d-701e7c71cf81,N
6575-4613-6817-7234,2022-05-12,Dunfey Hotels,3525,274,Debit,Cleared,9302644a-b525-4760-8d3e-cf67445e933b,N
8212-3112-7560-1582,2022-02-18,Prince Hotels,3526,966,Debit,Cleared,9bbae7f2-31fb-43f9-a4a1-171480ef6e00,N
8030-1321-5778-0363,2022-02-27,Downtowner Passport,3527,3547,Debit,Cleared,81f1aaa6-8398-4b5f-9ecb-b0d10f44c2fb,N
6268-4104-8135-8547,2022-03-05,Red Lion Inns,3528,3935,Debit,Cleared,506fdc96-923d-437a-a8a0-1638c615dc92,N
3128-4025-2617-0310,2022-03-02,CP (Canadian Pacific) ,3529,3057,Debit,Cleared,4583042c-e2a5-42f5-a341-3aa5bf2ac5c4,N
3435-4127-8278-2304,2022-03-16,Renaissance Hotels,3530,24,Debit,Cleared,caa4716c-a103-4965-9f46-2020c9819557,N
6573-1753-6586-3283,2022-03-30,Kauai Coconut Beach Resort,3531,3336,Debit,Cleared,538aca17-314e-4120-bc95-c1bee4fe8d32,N
7742-5634-4653-4660,2022-03-30,Royal Kona Resort,3532,3568,Debit,Cleared,c70ce8e0-dc4e-42aa-bfda-f440b1407377,N
5856-0057-8822-0177,2022-04-22,Hotel Ibis,3533,1090,Debit,Cleared,d40f6268-4973-4bcc-98d9-25355c765e23,N
1627-6537-8884-3428,2022-05-17,Southern Pacific,3534,3691,Debit,Cleared,c9dd4c48-ef08-4500-be1b-337a005e2cda,N
1114-1286-2836-3057,2022-04-25,Hilton International ,3535,3098,Debit,Cleared,5c2a740f-bd93-435f-b5b5-fbf268c97b7f,N
6422-6200-5583-3432,2022-05-16,AMFAC Hotels,3536,719,Debit,Cleared,89b0adc3-f909-4292-a599-0c6ff2770e2b,N
3435-4127-8278-2304,2022-04-16,ANA Hotels,3537,996,Debit,Cleared,2ea76dd7-1e23-41c9-85ef-0379df126f03,N
6422-6200-5583-3432,2022-05-17,Concorde Hotels,3538,2036,Debit,Cleared,f27588d0-6acb-4541-830e-3c181c7ce5cf,N
5660-4564-1621-2557,2022-05-14,Summerfield Suites Hotel,3539,2749,Debit,Cleared,b7a45818-ff14-4125-bf9d-21832e84520c,N
3221-7806-4080-6767,2022-05-14,Iberotel Hotels,3540,3808,Debit,Cleared,04129339-7492-4b56-b835-1c408186b4bd,N
6520-4224-1523-4421,2022-03-23,Hotel Okura,3541,2431,Debit,Cleared,d938c8cc-42ee-4e33-8841-614182c3ea6b,N
3435-4127-8278-2304,2022-02-18,Royal Hotels,3542,2784,Debit,Cleared,8c2e365e-6fe2-4197-a40b-897bf3e8a0e8,N
8282-4771-5114-6578,2022-03-27,Four Seasons,3543,1843,Debit,Hold,fb694c83-74c0-4be7-9f74-c15f96f07b99,N
8333-3307-1872-8720,2022-02-15,Cigna Hotels,3544,2344,Debit,Cleared,ed733607-d363-4466-9585-93b424870828,N
1532-0037-7363-6872,2022-03-04,Shangri-La International,3545,1860,Debit,Cleared,86e4b8e6-85ba-41f9-8658-db3e9687268c,N
3234-0650-4404-1172,2022-02-28,Hotel Sierra,3546,2037,Debit,Cleared,0798e1c3-6785-490b-ba0d-ca5954861dda,N
6103-0803-7667-1634,2022-05-06,Hotels Melia,3548,2593,Debit,Cleared,79005e6b-94ef-48c7-aa3f-863dd2af6860,N
8673-2441-5605-2407,2022-02-24,Auberge des Governeurs,3549,1710,Debit,Cleared,ad320e98-33c4-4775-9dd0-e711ce589809,N
5156-3222-5835-4034,2022-03-06,Regal 8 Inns,3550,3638,Debit,Cleared,55478865-210c-427b-99ce-d78f0df83f02,N
1283-5710-1470-8321,2022-05-10,Mirage Hotel and Casino,3551,3562,Debit,Processing,f953b1c8-f1eb-4285-9c01-e483ad0a7b6e,N
2032-7430-2122-1158,2022-05-16,Coast Hotel,3552,1592,Debit,Cleared,f873987d-c467-4891-af7c-7934fbfd8d44,N
5856-0057-8822-0177,2022-02-20,Park Inn by Radisson,3553,3970,Debit,Cleared,f317d468-ba81-45ee-acdf-b59d2795b707,N
2187-5166-8816-7885,2022-03-21,Pinehurst Resort,3554,2870,Debit,Cleared,e1f09df3-e6aa-428c-8a68-b552d866c368,N
4837-7356-8265-4327,2022-03-26,Treasure Island Hotel and Casino,3555,3406,Debit,Cleared,55ff9c55-d622-4eb8-bf27-e1cdfaa02973,N
5533-3112-6666-5865,2022-05-12,Barton Creek Resort,3556,2199,Debit,Cleared,cf8f2121-549d-4d4e-86d0-5e1c0eb22a46,N
6573-1753-6586-3283,2022-03-31,Manhattan East Suite Hotels,3557,413,Debit,Cleared,4df1ff63-1c69-4a31-83ca-62d03b282d0a,N
0237-1003-1471-2015,2022-03-06,Jolly Hotels,3558,445,Debit,Cleared,4807fa2f-a859-42ea-9e16-580c3a3baac4,N
4056-8121-6765-2045,2022-03-06,Candlewood Suites,3559,1228,Debit,Cleared,226d431f-b21d-441b-b0dc-10e046fbac38,N
1671-0005-4252-2213,2022-04-07,Aladdin Resort and Casino,3560,2327,Debit,Cleared,c0fa9341-a1d2-4283-a9b8-9564cb32c179,N
1411-3241-8383-5603,2022-05-17,Golden Nugget,3561,1651,Debit,Cleared,476604c9-3b42-45a4-ade3-b865d8b57caa,N
1114-1286-2836-3057,2022-05-18,Comfort Inns,3562,3632,Debit,Processing,411aafdc-0558-4a9b-b0c1-c2638c8bf529,N
7880-6862-7238-4167,2022-03-30,Journey's End Motels,3563,273,Debit,Cleared,c974fe15-300f-40ed-86da-6f53e9bbee1e,N
6573-1753-6586-3283,2022-02-19,Sam's Town Hotel and Casino ,3564,2404,Debit,Cleared,fb126a20-fe4e-4430-b571-7b6b76630fc4,N
8212-3112-7560-1582,2022-04-20,Relax Inns,3565,1899,Debit,Cleared,7a2311a4-8a60-433a-8acd-42656af5f39f,N
5112-5401-3048-6385,2022-05-08,Garden Place Hotel,3566,2494,Debit,Cleared,e0e6338b-418a-4b29-8187-2a12ca28cb91,N
